"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","55.7","810.2","5.6","4.3","25.2","0.3","0.0","193.9"
"","low","47.9","594.0","3.0","0.0","0.0","0.0","0.5","134.2"
"Ja'Lynn Polk","NEhigh","57.3","702.3","3.2","0.7","5.8","0.0","0.8","145.6"
"","high","61.0","741.0","4.0","2.0","14.0","0.0","0.0","200.7"
"","low","54.0","640.0","2.8","0.0","0.0","0.0","2.0","137.3"
"Josh Downs","INDhigh","56.0","639.6","3.3","0.0","5.3","0.0","0.5","139.5"
"","high","60.0","671.3","4.0","0.0","21.0","0.0","0.0","207.0"
"","low","49.6","556.0","2.4","0.0","0.0","0.0","1.0","126.2"
"Wan'Dale Robinson","NYGhigh","58.7","549.9","2.7","8.1","58.1","0.5","0.5","137.2"
"","high","62.4","593.0","4.0","8.7","77.0","1.0","0.0","203.5"
"","low","53.3","478.5","1.3","7.6","49.2","0.0","1.0","128.6"
"Adonai Mitchell","INDhigh","48.2","653.2","3.7","0.7","4.8","0.0","0.8","134.8"
"","high","50.0","730.0","4.0","2.0","11.0","0.0","0.0","188.3"
"","low","46.3","586.8","3.3","0.0","0.0","0.0","2.0","128.0"
"Michael Wilson","ARIhigh","49.0","641.4","3.7","0.0","1.3","0.0","0.2","134.8"
"","high","55.4","702.0","5.0","0.0","5.0","0.0","0.0","185.7"
"","low","44.7","569.5","2.4","0.0","0.0","0.0","0.6","119.4"
"Dontayvion Wicks","GBhigh","45.6","609.6","4.7","0.3","3.8","0.0","0.5","134.3"
"","high","51.1","682.0","6.0","1.0","14.0","0.0","0.0","183.1"
"","low","38.0","574.5","3.9","0.0","0.0","0.0","1.0","125.5"
"Demarcus Robinson","LARhigh","46.2","592.6","4.4","0.3","7.8","0.0","0.6","131.6"
"","high","57.7","697.6","5.0","1.0","20.0","0.0","0.0","182.7"
"","low","37.1","509.9","3.2","0.0","0.0","0.0","1.0","115.5"
"Rashod Bateman","BALhigh","46.1","605.0","3.5","0.3","4.5","0.0","0.2","127.7"
"","high","47.0","624.0","4.0","1.0","13.0","0.0","0.0","175.3"
"","low","45.7","587.0","2.6","0.0","0.0","0.0","0.5","121.5"
"Xavier Legette","CARhigh","46.0","597.4","3.0","2.8","17.2","0.1","0.4","125.3"
"","high","50.0","642.0","4.0","6.3","38.9","0.3","0.0","186.2"
"","low","41.2","492.5","2.1","0.0","0.0","0.0","1.0","106.8"
"Kendrick Bourne","NEhigh","46.5","562.9","3.5","2.3","15.8","0.0","0.5","124.5"
"","high","53.0","629.0","6.0","5.0","38.0","0.1","0.0","154.0"
"","low","39.0","493.0","2.0","0.0","0.0","0.0","1.0","112.8"
"DJ Chark Jr.","LAChigh","38.4","554.1","4.7","0.0","1.8","0.0","0.5","121.2"
"","high","41.7","618.2","8.0","0.0","7.0","0.0","0.0","147.5"
"","low","36.0","514.0","2.8","0.0","0.0","0.0","1.0","107.9"
"Tim Patrick","DENhigh","40.8","528.7","3.8","0.0","2.3","0.0","0.1","116.5"
"","high","47.0","653.0","7.0","0.0","9.0","0.0","0.0","144.4"
"","low","36.5","467.0","2.3","0.0","0.0","0.0","0.3","101.6"
"Darius Slayton","NYGhigh","39.7","569.2","3.0","0.0","1.3","0.0","0.1","114.5"
"","high","44.3","690.0","5.0","0.0","5.0","0.0","0.0","151.2"
"","low","32.7","426.9","1.9","0.0","0.0","0.0","0.4","93.0"
"Jalen McMillan","TBhigh","42.1","502.4","3.2","0.7","7.5","0.0","0.7","110.6"
"","high","55.0","583.0","4.0","2.0","22.0","0.0","0.0","181.6"
"","low","34.7","408.6","2.6","0.0","0.0","0.0","2.0","97.9"
"Tyler Boyd","TENhigh","46.0","497.8","2.4","1.3","7.6","0.0","0.5","110.2"
"","high","57.8","576.2","3.0","2.0","11.6","0.1","0.0","157.0"
"","low","37.3","417.1","2.0","0.0","0.0","0.0","1.0","100.7"
"Odell Beckham Jr.","MIAhigh","37.4","510.0","3.5","0.0","2.3","0.0","0.4","108.5"
"","high","46.0","673.0","4.0","0.0","7.0","0.0","0.0","132.4"
"","low","31.9","423.0","3.0","0.0","0.0","0.0","1.0","104.8"
"Quentin Johnston","LAChigh","39.2","488.7","3.1","1.7","6.8","0.0","0.1","107.3"
"","high","49.0","614.0","4.0","3.0","13.4","0.1","0.0","174.2"
"","low","24.3","281.5","1.5","0.0","0.0","0.0","0.4","76.5"
"Marvin Mims Jr.","DENhigh","39.0","501.9","2.6","3.9","22.4","0.1","0.2","106.9"
"","high","45.9","559.7","3.0","7.7","44.3","0.3","0.0","151.0"
"","low","35.0","449.1","1.9","0.0","0.0","0.0","0.5","107.6"
"Ricky Pearsall","SFhigh","37.1","477.5","3.5","2.2","14.5","0.1","0.7","106.0"
"","high","51.0","614.0","5.0","4.7","29.0","0.3","0.0","181.2"
"","low","26.6","353.9","2.5","0.0","0.0","0.0","2.0","91.8"
"Jermaine Burton","CINhigh","38.0","482.2","3.2","0.7","4.3","0.0","0.7","104.2"
"","high","47.0","652.0","4.0","2.0","10.0","0.0","0.0","162.6"
"","low","21.9","257.3","1.8","0.0","0.0","0.0","2.0","74.1"
"Jalin Hyatt","NYGhigh","39.6","501.2","2.3","0.0","1.0","0.0","0.3","103.3"
"","high","48.6","626.2","2.8","0.0","3.0","0.0","0.0","118.0"
"","low","23.0","343.0","2.0","0.0","0.0","0.0","0.5","105.4"
"Luke McCaffrey","WAShigh","39.3","467.2","2.3","2.0","15.5","0.0","0.4","101.0"
"","high","53.0","582.0","3.0","4.1","28.0","0.2","0.0","171.3"
"","low","24.8","294.6","1.4","0.0","0.0","0.0","1.0","76.6"
"Roman Wilson","PIThigh","36.6","474.1","2.8","0.7","10.0","0.0","0.4","100.9"
"","high","50.0","672.0","4.0","2.0","29.0","0.0","0.0","180.7"
"","low","21.9","279.1","1.5","0.0","0.0","0.0","1.0","73.4"
"Jahan Dotson","PHIhigh","37.3","458.7","3.0","0.0","2.0","0.0","0.5","100.5"
"","high","49.8","591.0","4.0","0.0","8.0","0.0","0.0","139.1"
"","low","30.0","378.8","2.3","0.0","0.0","0.0","1.0","89.0"
"Jalen Tolbert","DALhigh","36.9","456.9","3.0","0.0","2.3","0.0","0.2","100.1"
"","high","43.3","574.7","3.5","0.0","7.0","0.0","0.0","142.1"
"","low","27.3","331.1","2.4","0.0","0.0","0.0","0.5","83.9"
"Tre Tucker","LVhigh","35.0","424.6","2.4","6.0","39.8","0.2","0.3","96.4"
"","high","44.3","571.3","3.0","12.0","77.3","0.5","0.0","131.6"
"","low","24.9","318.6","2.0","0.0","0.0","0.0","0.6","78.1"
"Elijah Moore","CLEhigh","37.0","426.1","2.5","4.4","14.7","0.0","0.4","95.3"
"","high","54.0","618.0","3.0","9.0","22.0","0.2","0.0","136.0"
"","low","25.2","324.0","1.7","0.0","0.0","0.0","1.0","82.6"
"Malachi Corley","NYJhigh","35.5","394.9","2.7","4.4","30.0","0.2","0.1","95.0"
"","high","50.0","527.0","4.0","8.8","54.0","0.5","0.0","165.8"
"","low","21.4","265.6","1.7","0.0","0.0","0.0","0.3","72.1"
"Troy Franklin","DENhigh","35.1","447.5","2.7","1.0","4.7","0.0","0.7","94.8"
"","high","56.0","737.0","4.0","2.0","10.0","0.0","0.0","127.0"
"","low","16.2","200.6","1.0","0.0","0.0","0.0","2.0","60.7"
"Greg Dortch","ARIhigh","38.0","387.8","2.4","3.2","21.2","0.1","0.1","93.3"
"","high","55.0","540.0","4.0","4.1","25.7","0.2","0.0","167.5"
"","low","18.3","199.7","0.7","2.5","14.3","0.0","0.2","67.2"
"Josh Reynolds","DENhigh","33.1","428.4","2.9","0.0","1.3","0.0","0.4","92.6"
"","high","41.0","580.0","5.0","0.0","5.0","0.0","0.0","113.7"
"","low","30.0","372.7","1.9","0.0","0.0","0.0","1.0","82.3"
"Andrei Iosivas","CINhigh","33.7","393.0","3.0","0.0","3.3","0.0","0.2","91.1"
"","high","35.4","437.0","3.4","0.0","10.0","0.0","0.0","131.4"
"","low","30.7","345.6","2.7","0.0","0.0","0.0","0.3","83.7"
"Ray-Ray McCloud III","ATLhigh","33.9","348.4","2.6","6.9","46.8","0.2","0.2","90.0"
"","high","36.0","393.0","3.0","9.5","55.2","0.5","0.0","132.5"
"","low","31.9","325.0","2.0","4.3","32.1","0.0","0.4","84.3"
"Jonathan Mingo","CARhigh","34.5","404.6","2.0","0.0","3.0","0.0","0.1","87.0"
"","high","46.0","502.0","3.0","0.0","12.0","0.0","0.0","137.2"
