"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","1.8","23.0","0.2","0.0","0.0","0.0","0.0","5.1"
"Tom Kennedy","DEThigh","1.7","22.2","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.7","22.2","0.2","0.0","0.0","0.0","0.0","4.8"
"","low","1.7","22.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Daurice Fountain","DEThigh","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.8"
"","low","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.8"
"Maurice Alexander","DEThigh","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.8"
"","low","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.8"
"Montrell Washington","KChigh","1.8","21.2","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.8","21.2","0.2","0.0","0.0","0.0","0.0","4.8"
"","low","1.8","21.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Braylon Sanders","MIAhigh","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.6"
"","low","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.6"
"Samori Toure","GBhigh","1.7","21.2","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","1.7","21.2","0.2","0.0","0.0","0.0","0.0","4.7"
"","low","1.7","21.2","0.2","0.0","0.0","0.0","0.0","4.7"
"Erik Ezukanma","MIAhigh","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.6"
"","low","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.6"
"Elijah Cooks","JAChigh","1.8","19.7","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","1.8","19.7","0.2","0.0","0.0","0.0","0.0","4.5"
"","low","1.8","19.7","0.2","0.0","0.0","0.0","0.0","4.5"
"Collin Johnson","CHIhigh","1.7","20.5","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","1.7","20.5","0.2","0.0","0.0","0.0","0.0","4.6"
"","low","1.7","20.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Simi Fehoko","LAChigh","1.7","20.3","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","1.7","20.3","0.2","0.0","0.0","0.0","0.0","4.5"
"","low","1.7","20.3","0.2","0.0","0.0","0.0","0.0","4.5"
"Anthony Schwartz","MIAhigh","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.7"
"","high","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.5"
"","low","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.5"
"Martavis Bryant","WAShigh","1.7","20.1","0.2","0.0","0.0","0.0","0.0","4.7"
"","high","1.7","20.1","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","20.1","0.2","0.0","0.0","0.0","0.0","4.4"
"DeAndre Carter","CHIhigh","2.0","21.0","0.0","0.0","6.0","0.0","0.0","4.7"
"","high","2.0","21.0","0.0","0.0","6.0","0.0","0.0","6.7"
"","low","2.0","21.0","0.0","0.0","6.0","0.0","0.0","6.7"
"Stanley Morgan Jr.","NOhigh","1.7","19.7","0.2","0.0","0.0","0.0","0.0","4.7"
"","high","1.7","19.7","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","19.7","0.2","0.0","0.0","0.0","0.0","4.4"
"Cody White","SEAhigh","1.7","19.5","0.2","0.0","0.0","0.0","0.0","4.7"
"","high","1.7","19.5","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","19.5","0.2","0.0","0.0","0.0","0.0","4.4"
"Dax Milne","LVhigh","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.7"
"","high","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.3"
"","low","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.3"
"Cephus Johnson III","TBhigh","1.7","19.6","0.2","0.0","0.0","0.0","0.0","4.6"
"","high","1.7","19.6","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","19.6","0.2","0.0","0.0","0.0","0.0","4.4"
"Malik Taylor","NYJhigh","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.6"
"","high","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.4"
"Irvin Charles","NYJhigh","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.6"
"","high","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","4.4"
"Lance McCutcheon","NYJhigh","1.7","19.0","0.2","0.0","0.0","0.0","0.0","4.6"
"","high","1.7","19.0","0.2","0.0","0.0","0.0","0.0","4.3"
"","low","1.7","19.0","0.2","0.0","0.0","0.0","0.0","4.3"
"Mason Kinsey","TENhigh","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.5"
"","high","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.1"
"","low","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.1"
"Colton Dowell","TENhigh","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.5"
"","high","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.1"
"","low","1.5","19.3","0.2","0.0","0.0","0.0","0.0","4.1"
"Jacob Harris","PHIhigh","1.6","18.4","0.2","0.0","0.0","0.0","0.0","4.5"
"","high","1.6","18.4","0.2","0.0","0.0","0.0","0.0","4.2"
"","low","1.6","18.4","0.2","0.0","0.0","0.0","0.0","4.2"
"Juwann Winfree","INDhigh","1.5","18.0","0.2","0.0","0.0","0.0","0.0","4.4"
"","high","1.5","18.0","0.2","0.0","0.0","0.0","0.0","4.1"
"","low","1.5","18.0","0.2","0.0","0.0","0.0","0.0","4.1"
"Kristian Wilkerson","LVhigh","1.5","17.5","0.2","0.0","0.0","0.0","0.0","4.3"
"","high","1.5","17.5","0.2","0.0","0.0","0.0","0.0","4.0"
"","low","1.5","17.5","0.2","0.0","0.0","0.0","0.0","4.0"
"Mike Strachan","CARhigh","1.5","19.7","0.1","0.0","0.0","0.0","0.0","4.2"
"","high","1.5","19.7","0.1","0.0","0.0","0.0","0.0","4.1"
"","low","1.5","19.7","0.1","0.0","0.0","0.0","0.0","4.1"
"Jalen Virgil","DENhigh","1.5","17.4","0.2","0.0","0.0","0.0","0.0","4.2"
"","high","1.5","17.4","0.2","0.0","0.0","0.0","0.0","3.8"
"","low","1.5","17.4","0.2","0.0","0.0","0.0","0.0","3.8"
"Dez Fitzpatrick","PIThigh","1.5","16.6","0.2","0.0","0.0","0.0","0.0","4.1"
"","high","1.5","16.6","0.2","0.0","0.0","0.0","0.0","3.9"
"","low","1.5","16.6","0.2","0.0","0.0","0.0","0.0","3.9"
"Gunner Olszewski","NYGhigh","1.7","17.8","0.1","0.0","0.0","0.0","0.0","4.1"
"","high","1.7","17.8","0.1","0.0","0.0","0.0","0.0","3.9"
"","low","1.7","17.8","0.1","0.0","0.0","0.0","0.0","3.9"
"David Sills","DENhigh","1.5","16.5","0.1","0.0","0.0","0.0","0.0","4.0"
"","high","1.5","16.5","0.1","0.0","0.0","0.0","0.0","3.8"
"","low","1.5","16.5","0.1","0.0","0.0","0.0","0.0","3.8"
"Kawaan Baker","NEhigh","1.5","19.5","0.1","0.0","0.0","0.0","0.0","3.8"
"","high","1.5","19.5","0.1","0.0","0.0","0.0","0.0","4.0"
"","low","1.5","19.5","0.1","0.0","0.0","0.0","0.0","4.0"
"Quintez Cephus","HOUhigh","0.5","1.5","0.1","0.0","0.0","0.0","0.0","1.1"
"","high","0.5","1.5","0.1","0.0","0.0","0.0","0.0","1.2"
"","low","0.5","1.5","0.1","0.0","0.0","0.0","0.0","1.2"
""
""
