"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","7.0","64.6","0.4","0.1","18.5"
"Drew Sample","CINhigh","10.0","92.3","0.7","0.0","23.3"
"","high","13.7","126.0","1.0","0.0","40.6"
"","low","4.3","34.8","0.3","0.1","15.4"
"Payne Durham","TBhigh","9.2","96.8","0.7","0.0","23.2"
"","high","13.0","136.0","1.0","0.0","41.3"
"","low","2.0","18.9","0.2","0.1","11.9"
"Teagan Quitoriano","HOUhigh","6.5","100.6","1.1","0.0","23.1"
"","high","11.0","179.0","2.0","0.0","28.5"
"","low","2.0","22.3","0.2","0.0","9.7"
"Quintin Morris","BUFhigh","7.0","75.0","1.1","0.0","20.9"
"","high","11.0","123.0","2.0","0.0","29.0"
"","low","2.1","21.9","0.2","0.0","10.3"
"Cameron Latu","SFhigh","7.6","87.3","0.7","0.0","20.6"
"","high","10.0","121.0","1.0","0.0","18.6"
"","low","5.1","53.6","0.4","0.0","15.5"
"James Mitchell","DEThigh","8.0","83.3","0.7","0.0","20.4"
"","high","12.0","124.0","1.0","0.0","19.0"
"","low","4.1","42.7","0.3","0.0","14.2"
"MyCole Pruitt","PIThigh","6.2","67.7","1.1","0.0","19.9"
"","high","9.0","102.0","2.0","0.0","22.2"
"","low","3.5","33.4","0.3","0.0","11.2"
"Miller Forristall","LARhigh","7.5","78.5","0.6","0.0","19.2"
"","high","7.5","78.5","0.6","0.0","19.2"
"","low","7.5","78.5","0.6","0.0","19.2"
"Harrison Bryant","LVhigh","7.7","76.4","0.6","0.0","19.1"
"","high","12.0","122.0","1.0","0.0","37.9"
"","low","3.5","30.8","0.3","0.0","12.2"
"Ben Sims","GBhigh","6.5","56.5","1.1","0.0","18.7"
"","high","11.0","93.0","2.0","0.0","22.5"
"","low","2.0","20.0","0.2","0.0","9.5"
"Ross Dwelley","ATLhigh","6.0","83.9","0.7","0.0","18.3"
"","high","8.0","127.0","1.0","0.0","17.0"
"","low","4.0","40.8","0.3","0.0","12.0"
"Luke Farrell","JAChigh","7.4","74.9","0.6","0.0","18.2"
"","high","12.0","129.0","1.0","0.0","18.4"
"","low","2.1","18.8","0.2","0.1","10.0"
"John Bates","WAShigh","8.1","76.9","0.4","0.0","18.2"
"","high","16.0","145.0","1.0","0.0","20.1"
"","low","3.9","38.8","0.0","0.1","13.3"
"Giovanni Ricci","CLEhigh","7.3","72.7","0.5","0.1","17.7"
"","high","7.3","72.7","0.5","0.1","17.8"
"","low","7.3","72.7","0.5","0.1","17.8"
