"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","106.0","455.0","3.0","14.0","102.6","0.5","3.0","102.5"
"Khalil Herbert","CHIhigh","148.1","596.8","3.4","16.6","114.9","0.9","0.8","111.6"
"","high","186.2","812.0","4.8","23.0","152.0","1.0","0.5","141.6"
"","low","125.1","427.0","2.8","10.0","76.0","0.7","1.0","94.6"
"Bucky Irving","TBhigh","116.1","436.5","2.8","21.0","164.9","1.0","1.5","100.7"
"","high","138.0","505.0","4.0","26.6","207.0","1.1","0.5","108.0"
"","low","103.4","351.0","2.0","16.4","115.3","0.8","3.0","96.9"
"MarShawn Lloyd","GBhigh","97.2","405.8","3.1","16.8","131.1","0.9","1.1","92.2"
"","high","146.0","597.0","6.0","23.0","166.0","1.0","0.3","111.8"
"","low","56.1","244.2","1.4","13.0","116.4","0.7","2.0","65.4"
"Ray Davis","BUFhigh","86.4","373.7","2.9","17.2","143.2","0.8","1.2","88.8"
"","high","103.0","458.0","4.0","21.0","203.0","1.0","0.4","91.2"
"","low","73.8","311.9","2.2","13.0","94.0","0.5","2.0","79.0"
"Jamaal Williams","NOhigh","114.7","420.3","3.0","17.9","102.3","0.3","0.5","88.6"
"","high","122.0","480.2","3.7","25.2","147.7","0.7","0.0","101.5"
"","low","100.7","388.0","2.2","12.0","77.0","0.0","1.0","66.9"
"Jordan Mason","SFhigh","100.3","441.8","3.8","10.0","73.3","0.6","0.1","87.6"
"","high","113.0","556.0","6.0","14.0","104.0","1.0","0.0","98.5"
"","low","88.6","397.0","2.9","1.0","13.0","0.0","0.3","81.3"
"Alexander Mattison","LVhigh","113.6","424.8","2.6","14.5","97.8","1.0","0.9","86.6"
"","high","124.7","511.2","3.2","20.0","128.0","2.0","0.6","94.6"
"","low","94.0","337.0","2.0","11.3","77.2","0.5","1.0","68.5"
"Tyrone Tracy Jr.","NYGhigh","102.4","396.2","2.5","16.3","119.5","0.8","1.1","85.5"
"","high","154.0","649.0","4.0","21.9","150.1","1.0","0.0","101.3"
"","low","73.1","299.0","1.8","14.0","86.0","0.5","3.0","72.5"
"Braelon Allen","NYJhigh","103.8","393.4","2.8","12.6","96.1","0.8","0.8","81.1"
"","high","126.0","509.0","4.0","13.1","119.0","1.0","0.0","84.6"
"","low","78.4","280.0","2.0","12.0","84.0","0.5","2.0","74.9"
"Miles Sanders","CARhigh","96.9","349.5","2.0","16.2","99.8","0.1","1.2","71.5"
"","high","125.0","468.0","3.0","32.0","173.0","0.3","0.6","86.6"
"","low","68.4","194.0","1.0","6.0","44.0","0.0","2.0","50.0"
"Clyde Edwards-Helaire","KChigh","68.1","254.3","1.6","15.9","135.9","1.2","0.5","70.6"
"","high","80.0","340.7","2.3","27.0","248.0","2.0","0.0","86.9"
"","low","45.0","183.0","1.0","4.4","36.1","0.2","1.0","46.4"
"Roschon Johnson","CHIhigh","66.9","262.9","2.0","17.9","118.5","0.4","0.8","69.3"
"","high","93.0","395.0","3.0","34.0","209.0","1.0","0.3","82.7"
"","low","53.5","207.0","1.4","8.7","58.1","0.0","1.0","55.5"
"Tank Bigsby","JAChigh","101.5","343.0","3.6","9.2","62.8","0.3","2.2","68.6"
"","high","122.0","391.2","6.0","12.9","91.0","0.5","0.0","80.4"
"","low","82.5","307.0","2.6","1.0","6.0","0.0","6.0","55.2"
"Samaje Perine","KChigh","42.4","185.4","1.2","21.7","171.0","0.8","0.8","67.8"
"","high","60.0","287.0","2.0","34.4","274.4","1.8","0.0","85.5"
"","low","33.6","137.2","0.8","12.4","87.8","0.0","2.0","53.3"
"Kenneth Gainwell","PHIhigh","66.8","260.6","1.9","17.2","120.3","0.4","1.2","67.1"
"","high","115.0","488.0","4.0","29.0","201.0","1.0","0.6","88.2"
"","low","21.1","87.2","0.7","5.7","37.4","0.0","2.0","34.8"
