"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Bo Nix","DENhigh","496.9","310.1","3,212.1","19.0","12.1","61.4","280.6","2.4","3.6","227.4"
"","high","527.8","325.2","3,381.9","24.0","11.0","90.3","401.9","5.0","3.0","264.1"
"","low","457.0","291.0","3,074.0","16.3","12.8","44.3","189.1","1.0","4.0","190.6"
"Bryce Young","CARhigh","531.3","333.0","3,449.8","19.2","11.9","43.0","237.1","1.2","3.5","227.2"
"","high","556.0","350.0","3,684.5","20.1","11.0","45.9","267.4","2.0","3.0","286.3"
"","low","512.0","309.0","3,023.0","18.1","14.0","38.0","196.3","0.8","4.4","215.1"
"Russell Wilson","PIThigh","430.8","274.3","2,941.2","18.0","9.2","64.4","298.6","2.4","3.5","217.6"
"","high","490.8","320.6","3,370.5","22.0","8.0","68.5","348.5","4.0","3.0","257.5"
"","low","391.0","244.0","2,663.0","14.9","10.0","58.0","268.6","2.0","4.0","191.4"
"Gardner Minshew II","LVhigh","414.1","259.6","2,780.0","16.0","10.3","34.0","122.3","1.8","2.9","182.0"
"","high","529.9","333.2","3,549.0","22.4","6.7","51.8","212.8","2.3","2.0","236.3"
"","low","311.6","198.3","2,162.8","9.6","14.0","27.3","68.0","1.0","4.0","127.0"
"Drake Maye","NEhigh","364.5","230.6","2,652.2","14.0","11.0","49.1","233.4","1.9","2.5","181.0"
"","high","446.1","282.4","3,461.0","20.0","6.4","60.0","288.2","3.0","1.0","242.3"
"","low","264.8","168.9","1,854.9","7.4","14.0","38.0","155.0","1.0","3.5","112.8"
"Justin Fields","PIThigh","115.3","70.7","790.4","4.4","3.1","42.5","221.7","1.8","1.5","76.0"
"","high","125.0","77.1","865.0","5.0","2.0","50.0","275.0","2.0","1.0","102.8"
"","low","97.0","59.0","639.0","4.0","4.0","38.5","197.0","1.2","2.0","59.0"
"Taysom Hill","NOhigh","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","75.8"
